trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9002-0613,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0613,09:49:00,09:49:00,paris_nord,2,0,1
9002-0620,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0620,09:49:00,09:49:00,paris_nord,2,0,1
9002-0627,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0627,09:49:00,09:49:00,paris_nord,2,0,1
9002-0704,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0704,09:49:00,09:49:00,paris_nord,2,0,1
9002-0711,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0711,09:49:00,09:49:00,paris_nord,2,0,1
9002-0718,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0718,09:49:00,09:49:00,paris_nord,2,0,1
9002-0725,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0725,09:49:00,09:49:00,paris_nord,2,0,1
9002-0801,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0801,09:57:00,09:57:00,paris_nord,2,0,1
9002-0808,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0808,09:57:00,09:57:00,paris_nord,2,0,1
9002-0815,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0815,09:57:00,09:57:00,paris_nord,2,0,1
9002-0822,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0822,09:57:00,09:57:00,paris_nord,2,0,1
9002-0829,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0829,09:57:00,09:57:00,paris_nord,2,0,1
9002-0905,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0905,09:57:00,09:57:00,paris_nord,2,0,1
9004-0611,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0611,10:19:00,10:19:00,paris_nord,2,0,1
9004-0612,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0612,10:19:00,10:19:00,paris_nord,2,0,1
9004-0615,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0615,10:19:00,10:19:00,paris_nord,2,0,1
9004-0616,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0616,10:19:00,10:19:00,paris_nord,2,0,1
9004-0617,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0617,10:19:00,10:19:00,paris_nord,2,0,1
9004-0618,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0618,10:19:00,10:19:00,paris_nord,2,0,1
9004-0619,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0619,10:19:00,10:19:00,paris_nord,2,0,1
9004-0622,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0622,10:19:00,10:19:00,paris_nord,2,0,1
9004-0623,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0623,10:19:00,10:19:00,paris_nord,2,0,1
9004-0624,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0624,10:19:00,10:19:00,paris_nord,2,0,1
9004-0625,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0625,10:19:00,10:19:00,paris_nord,2,0,1
9004-0626,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0626,10:19:00,10:19:00,paris_nord,2,0,1
9004-0629,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0629,10:19:00,10:19:00,paris_nord,2,0,1
9004-0630,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0630,10:19:00,10:19:00,paris_nord,2,0,1
9004-0701,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0701,10:19:00,10:19:00,paris_nord,2,0,1
9004-0702,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0702,10:19:00,10:19:00,paris_nord,2,0,1
9004-0703,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0703,10:19:00,10:19:00,paris_nord,2,0,1
9004-0706,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0706,10:19:00,10:19:00,paris_nord,2,0,1
9004-0707,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0707,10:19:00,10:19:00,paris_nord,2,0,1
9004-0708,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0708,10:19:00,10:19:00,paris_nord,2,0,1
9004-0709,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0709,10:19:00,10:19:00,paris_nord,2,0,1
9004-0710,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0710,10:19:00,10:19:00,paris_nord,2,0,1
9004-0713,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0713,10:19:00,10:19:00,paris_nord,2,0,1
9004-0714,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0714,10:19:00,10:19:00,paris_nord,2,0,1
9004-0715,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0715,10:19:00,10:19:00,paris_nord,2,0,1
9004-0716,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0716,10:19:00,10:19:00,paris_nord,2,0,1
9004-0717,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0717,10:19:00,10:19:00,paris_nord,2,0,1
9004-0720,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0720,10:19:00,10:19:00,paris_nord,2,0,1
9004-0721,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0721,10:19:00,10:19:00,paris_nord,2,0,1
9004-0722,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0722,10:19:00,10:19:00,paris_nord,2,0,1
9004-0723,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0723,10:19:00,10:19:00,paris_nord,2,0,1
9004-0724,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0724,10:19:00,10:19:00,paris_nord,2,0,1
